"ID","Name","Description","Model","Serial Number","Barcode","Additional Information","Location Name","Area","Parent Asset Name","Worker Email","Category","Purchase Date","Service Date","Purchase Price","Warranty Expiration Date","Residual Price","Useful Life (number)","Useful Life (unit)","Depreciation Rate","Track Check Ins/Outs","Check In/Out","Check In Procedure","Check Out Procedure","Created At","Status","Current Value","Parts Names","Team Names","Customer Assigned Names","Vendor Assigned Names","Manufacturer Name","Operating Schedule"
"TGGR3JpP8K","4DXSH1-016",,"4DX",,"4DXSH1-016",,"Intrepid - Intrepid Sea Air & Space Museum (FANA)",,,,,"","",,"",0,"","","",false,,,,"07/20/2018 11:09 AM","Out of Service/Not at site",,"","","","",,
"vec66N2BiH","4DXSH1-017","","4DX",,"4DXSH1-017","","GAAQ-Georgia Aquarium","Row 1",,,,"","",,"",0,"","","",false,,"","","07/20/2018 11:09 AM","Out of Service/Not at site",,"","GAAQ ","","",,
"11Vekcd2Yd","4DXSH1-018",,"4DX",,"4DXSH1-018",,"Pulseworks Shop",,,,,"","",,"",0,"","","",,,,,"07/20/2018 11:07 AM","Out of Service/Not at site",,"","","","",,
"3TY2Ju3mr6","4DXSH1-019","HP Reverb G2 headsets
Upgraded 5/23 for Hunstville","4DX",,"4DXSH1-019",,"USSRC-U.S. Space and Rocket Center",,,,,"","",,"",0,"","","",false,,,,"12/19/2018 03:09 PM","Out of Service/Not at site",,"","USSaRC","","",,
"t5xHo8J1cM","4DXSH1-020","Refurbished 6/2025
upgraded to extrusion PC rack
Shipped with Origin v3 PCs and DPVR E4C headsets","4DX","4DXSH1-020","4DXSH1-020",,"SCH-Space Center Houston","Motionbase 3",,"systems@spacecenter.org",,"","",,"",0,"","","",false,,,,"10/06/2020 02:36 PM","",,"","SCH Staff","","",,
"SDYkfHEbLX","4DXSH2-003","4DX Sim","4DX",,,"Updated with HP Reverb G2 headsets 9/22.  Shipped to MSI 10/22.
MSI is first deployment for this unit.","MSI-Museum of Science and Industry",,,"djohnson@pulseworksops.com",,"","10/12/2022",,"",,"","","",false,,,,"10/07/2022 08:47 AM","Operational",,"","Chicago ","","",,
"6GACg0YpyN","4DXSH2-004","Refurbished 6/2025
upgraded to extrusion PC rack
Shipped with Origin v3 PCs and DPVR E4C headsets","4DX Sway Unit","4DXSH2-004","4DXSH2-004","","SCH-Space Center Houston","Motionbase 2",,"systems@spacecenter.org",,"","11/17/2019",,"",0,"","","",false,,,,"11/07/2019 01:29 PM","Out of Service/Not at site",,"","SCH Staff","","",,
"y9yzNdKW8P","4DXSH2-005","4DX Sim Refurbed for Intrepid 5-2022.
Setup as Intrepid MotionBase 1. IP-192.168.1.51
Shipped with HP Reverb G2 Headsets.
All machines installed with windows 10.","4DX",,,,"Intrepid - Intrepid Sea Air & Space Museum (FANA)",,,,,"","05/20/2022",,"",0,"","","",false,,,,"08/20/2019 12:32 PM","Operational",,"","INTREPID","","",,
"FDizZSyRkI","4DXSH2-006","4DX Sim-  Refurbed for Intrepid 5/2022.  
Setup as Intrepid MotionBase 2- IP 192.168.1.52
Shipped with HP Reverb G2 headsets and windows 10 on all machines","4DX",,,,"Intrepid - Intrepid Sea Air & Space Museum (FANA)",,,,,"","05/20/2022",,"",0,"","","",false,,,,"08/20/2019 12:33 PM","Operational",,"","INTREPID","","",,
"eFvSrGCeC5","4DXSH2-007","4DX sim first deployment at Huntsville
Fitted with HP Reverb G2",,,"4DXSH2-007",,"USSRC-U.S. Space and Rocket Center",,,,,"","",,"",,"","","",false,,,,"06/20/2023 11:29 AM","Operational",,"","USSaRC","","",,
"97i67a638t","4DXSH2-008","Gen2 4dx motionbase setup w/ DPVR headsets.","4DX Sway Unit","4DXSH2-008","4DXSH2-008","Motion base 2 at GAAQ submarine. This unit is installed w/ 4x Origin PCs w/ 2080ti GPUs using HP Reverb pro headsets. Upgraded from Cosmos headset to DPVR headset before send it to Great Lakes.","Great Lakes Science Center","Motionbase 2",,,"Assets","","",,"",0,"","","",false,,,,"11/07/2019 01:31 PM","Operational",,"","","","",,
"PY8G0Qg4wF","4DXSH2-009","Refurbished 6/2025
upgraded to extrusion PC rack
Shipped with Origin v3 PCs and DPVR E4C headsets","4DX Sway Unit","4DXSH2-009","4DXSH2-009","","SCH-Space Center Houston","Motionbase 1",,"systems@spacecenter.org",,"","11/17/2019",,"",0,"","","",false,,,,"11/07/2019 01:33 PM","Out of Service/Not at site",,"","SCH Staff","","",,
"2HsIcmWowL","ADA PC ADA001","Mid size case computer, ADA PC. 
Simulator Type : VR 
Windows Version : 
Control Software Installed : 
Power Supply : 
Motherboard :  
GPU : 
CPU : 
RAM :  
Galil : 
Date :
Other Software Installed :  
","ADA PC","ADA001",,,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"09/11/2025 01:38 PM","Operational",,"","","","",,
"IXlXYoNru3","ADA PC ADA003","Mid size case computer, ADA PC. 
Change CMOS Battery? : 10/07/25
Headset Type : DPVR E4C
Windows Version : 10Pro
Control Software Installed : VR ADA Launcher
Power Supply : 850w
Motherboard :  Asus Prime Z390-P
GPU : RTX 2080
CPU : i7 - 8700
RAM :  16GB DDR4
Galil : N/A
Date : 10/08/25
Tech: Miheer / Billy.
Other Software Installed :  Steam, Steam VR v2.9.6, Team Viewer, Pulselock, IntelBurnTest v2, Furmark 1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver v572.83, directx_Jun2010_redist, VC_redist.x64, VC_redistx86, HEVC Codec, DPVRAssistantSetup. 
","ADA PC","ADA003","ADA003",,"Patriots Point-Patriots Point Naval & Maritime Museum (FANA)",,,,"Assets","","",,"",,"","","",false,,,,"10/09/2025 10:35 AM","Operational",,"","","","",,
"9DUJ44DBrF","ADA PC ADA004","Mid size case computer, ADA PC. 
Change CMOS Battery? : 10/08/25
Headset Type : DPVR E4C
Windows Version : 10Pro
Control Software Installed : VR ADA Launcher
Power Supply : 850w
Motherboard :  Asus Prime Z390-P
GPU : RTX 2080
CPU : i7 - 8700
RAM :  16GB DDR4
Galil : N/A
Date : 10/09/25
Tech: Miheer / Billy.
Other Software Installed :  Steam, Steam VR v2.9.6, Team Viewer, Pulselock, IntelBurnTest v2, Furmark 1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver v572.83, directx_Jun2010_redist, VC_redist.x64, VC_redistx86, HEVC Codec, DPVRAssistantSetup. 
","ADA PC","ADA004","ADA004",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"10/09/2025 10:43 AM","Operational",,"","","","",,
"Uz7O3TtEAK","ADA PC ADA005","Mid size case computer, ADA PC. 
Change CMOS Battery? : 10/09/25
Headset Type : DPVR E4C
Windows Version : 10Pro
Control Software Installed : VR ADA Launcher
Power Supply : 850w
Motherboard :  Asus Prime Z390-A
GPU : RTX 2080 Super
CPU : i7 - 8700
RAM :  16GB DDR4
Galil : N/A
Date : 10/14/25
Tech: Miheer / Billy.
Other Software Installed :  Steam, Steam VR v2.9.6, Team Viewer, Pulselock, IntelBurnTest v2, Furmark 1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver v572.83, directx_Jun2010_redist, VC_redist.x64, VC_redistx86, HEVC Codec, DPVRAssistantSetup, Core Temp.","ADA PC","ADA005","ADA005",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"10/14/2025 11:17 AM","Operational",,"","","","",,
"BoAPghRPdy","ADA PC ADA007","Mid size case computer, ADA PC. 
Simulator Type : VR 
Windows Version : 
Control Software Installed : 
Power Supply : 
Motherboard :  
GPU : 
CPU : 
RAM :  
Galil : 
Date :
Other Software Installed :","ADA PC","ADA007","ADA007",,"USAFM-National Museum of the United States Air Force",,,,"Assets","","",,"",,"","","",,,,,"10/14/2025 10:42 AM","Operational",,"","","","",,
"wGLTtwJvCS","ADA PC ADA030","Mid size case computer 
Computer Type : i360 Training PC
Windows Version : 10 Pro
Control Software Installed : 
Power Supply : 750W
Motherboard :  ASUS Prime 270-A
GPU : RTX 2080
CPU : i7-6700
RAM :  16GB DDR4
Galil : N/A
Date : 03-30-2026 Miheer
Other Software Installed :  IntelBurnTest v2, Furmark v1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver, directx_Jun2010_redist, HEVC Codec, Core Temp, TrainerLauncher","ADA PC","ADA030","ADA030",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",false,,,,"10/14/2025 10:40 AM","Operational",,"","","","",,
"GP4HDh2Yab","ADA PC ADA031","Mid size case computer, ADA PC. 
Simulator Type : VR 
Windows Version : 
Control Software Installed : 
Power Supply : 
Motherboard :  
GPU : 
CPU : 
RAM :  
Galil : 
Date :
Other Software Installed :  
","ADA PC","ADA031","ADA031",,"USAFM-National Museum of the United States Air Force",,,,"Assets","","",,"",,"","","",false,,,,"03/30/2026 11:50 AM","Operational",,"","","","",,
"EKVGLPR7Au","CM006","NP-M403H projector","Morphis","CM006","CM006","","SCH-Space Center Houston","1",,"systems@spacecenter.org",,"","",,"",0,"","","",false,,,,"02/24/2017 11:07 AM","",,"","SCH Staff","","",,
"CDzEDG5kHd","CM007","","Morphis",,"CM007","Internal Galil
Control Software v5.04","USSRC-U.S. Space and Rocket Center",,,"ussarc@pulseworksops.com",,"","",,"",0,"","","",false,,,,"02/24/2017 09:51 AM","",,"","USSaRC","","",,
"VA21FUJmuw","CM014",,"Morphis",,,"Gen 1 3D projection system Shares compressor with CM019 Single Port door operation","Pulseworks Warehouse","Position 1",,,,"","",,"",,"","","",,,,,"02/24/2017 09:40 AM","Out of Service/Not at site",,"","","","",,
"15OysgzeY7","CM018","","Morphis",,"CM018","Build version Software Version","HAZY-Steven F. Udvar-Hazy Center","",,"mnorris@pulseworks.com",,"","",,"",0,"","","",,,,,"02/22/2017 10:49 AM","",,"","DC","","",,
"W8ABceRNPC","CM028","","Morphis",,"CM028","Door Magnets; Projector: Epson PowerLite 1781w; Spare bulb: ELPLP94
Compatible with Morphis Control v4.2 
Internal Galil
External Gemco Transducers","USAFM-National Museum of the United States Air Force","BLDG 2 Position 1",,"nbuerschen@afmuseum.com",,"","",,"",0,"","","",false,,,,"02/24/2017 11:07 AM","",,"","USAFM","","",,
"BkoiBnimDp","CM034",,"Morphis",,,,,,,,,"","",,"",0,"","","",,,,,"02/24/2017 09:51 AM","Operational",,"","OMSI","","",,
"doIED70XZO","CM041",,"Morphis",,,,"Pulseworks Warehouse",,,,,"","",,"",,"","","",false,,,,"02/23/2017 01:52 PM","Out of Service/Not at site",,"","","","",,
"Awokv435IT","CMA - Mat VR","CMA-DITO single rack 9 quest 2s in the rack.
Mat size is 13 feet. Router Asus AX11000.","Mat VR 13 feet","MT003","MT003",,"CMA",,,,"Assets","","",,"",,"","","",false,,,,"03/10/2025 03:22 PM","Operational",,"","CMA","","",,
"N8XchV8wPe","Control PC CPC001","Rack computer, Control PC. 
Simulator Type : 
Windows Version : 
Control Software Installed :
Power Supply : 
Motherboard : 
GPU : 
CPU : 
RAM :  
Galil : 
Date : 
Other Software Installed :
","Control PC.","CPC001","CPC001",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"01/23/2026 11:17 AM","Operational",,"","","","",,
"iRBUOYX2Bd","Control PC CPC002","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : 10Pro
Control Software Installed :
Power Supply : 850W
Motherboard : IMB X-1314
GPU : RTX 5070
CPU : i9-14900
RAM :  32GB DDR4
Galil : 62245
Date : 01/23/26
Other Software Installed :Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock, HEVC Codec, Direct X, I-360 V2 Setup, APC.
","Control PC.","CPC002","CPC002",,"MOF-Museum of Flight",,,,"Assets","","",,"",,"","","",false,,,,"02/19/2026 09:50 AM","Operational",,"","","","",,
"Z86dc1D9x5","Control PC CPC017","Rack computer, Control PC. 
Simulator Type : VRT
Windows Version : 10 Pro
Control Software Installed : VRT Sim Control V1.10
Power Supply : 850w
Motherboard :  IMB X1314
GPU : RTX 5070
CPU : i9-14900K
RAM :  32G DDR4
Galil : AM-12080
Date : 03/09/26 Miheer
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock, HEVC Codec, 2024 Codec LAV.
","Control PC.","CPC017","CPC017","","Museum of Aviation",,,,"Assets","","",,"",,"","","",false,,"","","03/16/2026 02:18 PM","Operational",,"","","","",,
"9v8BkZSN8H","Control PC CPC103","Rack computer, Control PC.  Simulator Type :Morphis  Windows Version :10 Control Software Installed :Morphis V5.04 Power Supply :850w Motherboard :Asrock IMB-X1313  GPU :1080  CPU : i7 9700 RAM :DDR4 32G Galil :Internal 13500 Date : Other Software Installed :","Control PC.","CPC103","","","USSRC-U.S. Space and Rocket Center","",,,"Assets","","",,"",,"","","",false,,"","","08/01/2025 08:41 AM","Operational",,"","","","",,
"9nIrGOXHAi","Control PC CPC104","Rack computer, Control PC. 
Simulator Type : 4DX
Windows Version : 10 Pro
Control Software Installed : VRSimControl
Power Supply : 850w
Motherboard :  IMB-X1314
GPU : RTX 5070
CPU : i7-14900K
RAM :  32GB DDR4
Galil : N/A
Date : 4/6/26 Miheer
Other Software Installed : NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock, HEVC Codec, PulseLock v2.34, SMCP. Core Temp.","Control PC.","CPC104","CPC104",,"Great Lakes Science Center",,,,"Assets","","",,"",,"","","",false,,,,"04/06/2026 11:23 AM","Operational",,"","","","",,
"ltj1CSYD8e","Control PC CPC119","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : ??
Control Software Installed : I360v5.33
Power Supply : 750w
Motherboard :  Gigabyte GA-Z77-HD3
GPU : GEFORCE GTX650Ti
CPU : ??
RAM : CRUCIAL DDR3
Galil : 53760
Date : 7/27/26 Oscar
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Capsule Viewer,I360 Game,I360v5.33,ManualControlApp, Pulselock, APD_501_T88V , ","Control PC","CPC119","","","Pulseworks Shop","",,,"Assets","","",,"",,"","","",false,,"","","07/27/2026 10:09 AM","",,"","","","",,
"umiO2BBixb","Control PC CPC132","Rack computer, Control PC. 
Simulator Type : 
Windows Version : 
Control Software Installed :
Power Supply : 
Motherboard : 
GPU : 
CPU : 
RAM :  
Galil : 
Date : 
Other Software Installed :
","Control PC.","CPC132","CPC132",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"11/11/2025 07:36 AM","Operational",,"","","","",,
"vu4GDtWjbF","Control PC CPC138","Rack computer, Control PC. 
Simulator Type : 
Windows Version : 
Control Software Installed :
Power Supply : 
Motherboard : 
GPU : 
CPU : 
RAM :  
Galil : 
Date : 
Other Software Installed :
","Control PC.","CPC138","CPC138",,"MOF-Museum of Flight",,,,"Assets","","",,"",,"","","",false,,,,"09/12/2025 07:03 AM","Operational",,"","","","",,
"TdylYLBNzJ","Control PC CPC149","Rack computer, Control PC. 
Simulator Type : 
Windows Version : 
Control Software Installed :
Power Supply : 
Motherboard : 
GPU : 
CPU : 
RAM :  
Galil : 
Date : 
Other Software Installed :
","Control PC.","CPC149","CPC149",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",,,,,"03/30/2026 11:47 AM","Operational",,"","","","",,
"dVwQtETNQk","Control PC CPC152","Rack computer, Control PC.  
Simulator Type : i360-2024 (Control Teqniq-Nidec Drives)
Windows Version : 10 Pro 
Control Software Installed: I360 Control
Power Supply : 850w 
Motherboard :  ASRock IMB-X1314 
GPU : RTX5070 
CPU : i9-14900 
RAM : 32 GB DDR4 
Galil : 53752
Date : 7-23-2026 Miheer and Ethen 
Other Software Installed: TeamViewer, IntelBurnTest v2, Furmark v1.19.0.0, OpenHardwareMonitor v0.9.6, GeForce Driver, directx_Jun2010_redist, HEVC Codec, Core Temp, Pulselock v2.11, Capsule Viewer, I360 Control, APD_501_T88V","Control PC.","CPC152","","","Pulseworks Shop","",,,"Assets","","",,"",,"","","",false,,"","","03/27/2025 10:44 AM","Operational",,"","","","",,
"pW34a2AzJh","Control PC CPC156","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : 10 Pro
Control Software Installed : I360v5.33
Power Supply : 850w
Motherboard :  ASRock IBM-X1313
GPU : GEFORCE RTX 2080
CPU : i9-10900F
RAM : CORSAIR Vengeance DDR4
Galil : 1367
Date : 8/19/25 Oscar
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Capsule Viewer,I360 Game,I360v5.33, Pulselock, APD_501_T88V , 
","Control PC","CPC156",,,"MOF-Museum of Flight",,,"techsupport@pulseworks.com","Assets","","",,"",,"","","",false,,,,"08/19/2025 09:33 AM","Operational",,"","","","",,
"Nh0tyelpHE","Control PC CPC159","Rack computer, Control PC. 
Simulator Type : VRT Control PC
Windows Version : 10 Pro
Control Software Installed :
Power Supply : 850W
Motherboard : IMB -X1314
GPU : RTX 5070
CPU : i9-14900
RAM : DDR4 32 GB 
Galil : 59861
Date : 01-29-2026
Other Software Installed : 
","Control PC.","CPC159","CPC159",,"Patriots Point-Patriots Point Naval & Maritime Museum (FANA)",,,,"Assets","","",,"",,"","","",false,,,,"01/23/2026 11:40 AM","Operational",,"","","","",,
"IuXy6yAWZf","Control PC CPC160","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : 10 Pro
Control Software Installed :
Power Supply : 
Motherboard : 
GPU : 
CPU : 
RAM :  
Galil : 
Date : 
Other Software Installed : 
","Control PC.","CPC160",,,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",false,,,,"06/17/2025 01:37 PM","Operational",,"","","","",,
"1yQMndVBD2","Control PC CPC161","Rack computer, Control PC. 
Simulator Type : ESP
Windows Version : 10 Pro
Control Software Installed : ESP COSI v US1.201
Power Supply : 750w
Motherboard :  ASROCK IMB-X1313 
GPU : GeForce RTX 3070Ti
CPU : i9-10900F
RAM : 16GB DDR4
Galil : Yes 58357
Date : 9/25/25 Oscar & Miheer
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock, HEVC Codec, Capsule Player, Capsule Viewer, 2024 Codec LAV.","Control PC.","CPC161",,,"MSI-Museum of Science and Industry",,,,"Assets","","",,"",,"","","",false,,,,"04/11/2025 07:57 AM","Operational",,"","","","",,
"Au10sKVkHl","Control PC CPC162","Rack computer, Control PC. 
Simulator Type : 4DX
Windows Version : 10 Pro
Control Software Installed :VR4DXsim
Power Supply : 850w
Motherboard :  ASRock IBM-X1313
GPU : GEFORCE RTX 2070 Super
CPU : i9-10900F
RAM :  DDR4- 16GB Corsair
Galil : None
Date : 8/19/25 Oscar/Reggie
Other Software Installed :  NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock v2.34, JRE-8U171, directX june2010, vc_redistx86, vr_redistx64, GameBuilds2-22, GameBuilds-2024, GameBuilds-2025, GameBuilds-WMR, VRsimControl","Control PC","CPC162","CPC162",,"SCH-Space Center Houston",,,,"Assets","","",,"",,"","","",false,,,,"08/28/2025 07:54 AM","Operational",,"","","","",,
"0oErPHNiCa","Control PC CPC163","Rack computer, Control PC. 
Simulator Type : PSB Control PC
Windows Version : 10 Pro
Control Software Installed : Pulseworks PSB VR Sim Control v1.01
Power Supply : 850w
Motherboard :  IMB-X1314
GPU : RTX 5070
CPU : i9-14900
RAM :  DDR4 32 GB
Galil : N/A
Date : 1-7-25 Ethen
Other Software Installed :  TeamViewer, IntelBurnTest v2, Furmark v1.19.0.0, OpenHardwareMonitor v0.9.6, 
GeForce Driver, directx_Jun2010_redist, VC_redist.x64, VC_redist.x86, HEVC Codec, Pulselock, Arduino, Motion Control PID, VR Backgrounds","Control PC","CPC163","CPC163",,"MOF-Museum of Flight",,,,"Assets","","",,"",,"","","",false,,,,"08/19/2025 09:26 AM","Operational",,"","","","",,
"EIro8I1IJ8","Control PC CPC164","Rack computer, Control PC. 
Simulator Type : 
Windows Version :
Control Software Installed :
Power Supply : 
Motherboard :  
GPU : 
CPU : 
RAM : 
Galil : 
Date :  
Other Software Installed :","Control PC."," CPC164",,,"FMNH-Field Museum of Natural History",,,,"Assets","","",,"",,"","","",false,,,,"08/04/2025 08:01 AM","Operational",,"","","","",,
"yelP31pwX8","Control PC CPC165","Rack computer, Control PC. 
Simulator Type : i360 Control PC
Windows Version : 10 Pro
Control Software Installed : VR Client Launcher 2.04
Power Supply : 850W
Motherboard : IMB-X1314
GPU : RTX 5070
CPU : i9-14900
RAM :  32 GB DDR4
Galil : 59857
Date : 1-7-2025 Miheer, Ethen, Oscar
Other Software Installed : TeamViewer, IntelBurnTest v2, Furmark v1.19.0.0, OpenHardwareMonitor v0.9.6, 
GeForce Driver, directx_Jun2010_redist, HEVC Codec, Core Temp, Pulselock, Galil Tools, i360 Control
","Control PC.","CPC165","CPC165",,"Pulseworks Shop",,,,"Assets","","",,"",,"","","",false,,,,"09/12/2025 07:05 AM","Operational",,"","","","",,
"IktsIA4Bny","Control PC CPC166","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : 7 Pro
Control Software Installed : I360v??
Power Supply : 750w
Motherboard :  ASUS Z170-A
GPU : GEFORCE GTX 1080
CPU : i7-6700
RAM : CRUCIAL 4Gb DDR4
Galil : 
Date : ???
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Capsule Viewer,I360 Game,I360v5.33,ManualControlApp, Pulselock, APD_501_T88V , ","Control PC","CPC166","","","Pulseworks Shop","",,,"Assets","","",,"",,"","","",false,,"","","07/23/2026 11:39 AM","",,"","","","",,
"DzVB5uhkuf","Control PC CPC167","Rack computer, Control PC. 
Simulator Type : I-360
Windows Version : 10Pro 
Control Software Installed : I360 V5.33
Power Supply : 850 W
Motherboard : ASRock IMB1314
GPU :  RTX 4070
CPU : i7-14700
RAM :  32 GB DDR4
Galil : 53754
Date : 10-30-2025
Other Software Installed : Galil Tools v1.6.3.546, NVidia v572.83, Team Viewer, IntelBurn, FurMark v1.19.0.0, OpenHardwareMonitor v09.6, Pulselock, HEVC Codec, Capsule Player, Capsule Viewer, 2024 Codec LAV, Coretemp V1.19.5.69, LibreHardWareMornitor, APD_501_T88V.

","Control PC.","CPC167","CPC167",,"MOF-Museum of Flight",,,,"Assets","","",,"",,"","","",,,,,"11/03/2025 06:50 AM","Operational",,"","","","",,
