"ID","Name","Part Number","Location Name","Description","Quantity","Cost per unit","Barcode","Area","Minimum Quantity","Maximum Quantity","Additional Part Details","Category","Mark Non-Stock","Mark Critical","Asset Names","Assigned User Emails","Assigned Team Names","Assigned Vendor Names","Assigned Customer Names","Tags"
"uadBDuQGO2","Clover Mini Receipt Paper ",,"CSC-California Science Center","Smaller receipt paper for clover mini",6,,"","","1.0",,"","Register ",false,,"","","","","",""
"v1J0j5ptpN","Spare Rj12 cable",,"CSC-California Science Center","For register use",1,,"","","0.0",,"","",false,,"","","","","",""
"pyBsaYFy45","Ear piece ",,,"Someone ripped it off head set ",0,,,,,,,,false,,"","","","","",""
"sRiPLUsLdZ","Clover receipt paper ",,"","",10,,"","","5.0",,"","",false,,"","","","","",""
"XEJijqALKF","MOSI-Ziptie Bundles",,,"",0,,"","","1.0",,"","",false,,"","","","","",""
"oRoWKfdw37","Projector bulbs for ESP",,"CSC-California Science Center","",0,,"","","0.0",,"Requesting additional bulbs for the projectors in our ESPs. One went out today, I replaced it, but I don't see that we have any extras.","",false,,"","","","","",""
"6GOtzLnDvS","NMAH Clock in PC",,"NMAH-National Museum of American History","Old clock in pc is out of date need replacement.",1,,"","","1.0",,"Need to replace old clock in pc for NMAH ","Parts",false,,"","","","","",""
"s2GiZeoPNU","Control panel bulbs",,"Alabama- USS Alabama Battleship (FANA)","130v 20mAEB",0,,,"control panel",,,"Need 5 bulbs","Parts",false,,"","1677349734+abohne@pulseworks.com,hbenjamin@pulseworks.com,lance@pulseworks.com,techsupport@pulseworks.com","USS Alabama","","",""
"jLnsXdki7k","Antibacterial wipes",,,"Clean headsets ",5,,"","","0.0",,"","Cleaner",false,,"","","","","",""
"H0b0MYZBm9","XD Theater Seat","XD-08-09-407","Intrepid - Intrepid Sea Air & Space Museum (FANA)","",1,,"",,,,"Voltage: 120V, Current: 5A, Model: AC-AK/22C, Weight: 350 lbs","mechanical",false,,"","","","","",""
"BwtKEhgT28","Door Latch","0000","Intrepid - Intrepid Sea Air & Space Museum (FANA)","A latch used to secure doors, typically in vehicles or cabinets.",1,,"",,,,"Material appears to be metal with a plastic handle.","mechanical",false,,"","","","","",""
"EGSIGl6A2R","chock strap","0001","Intrepid - Intrepid Sea Air & Space Museum (FANA)","",1,,"",,,,"The image shows a roll of tape, possibly used for sealing or packaging.","",false,,"","","","","",""
